rfi_id,project_id,created_date,due_date,closed_date,status
P004_RFI_017,P004,2026-03-25,2026-04-10,2026-04-10,Closed
P004_RFI_018,P004,2026-05-14,2026-05-20,,Open
P004_RFI_019,P004,2026-01-11,2026-01-30,,Open
P004_RFI_020,P004,2026-03-14,2026-03-28,2026-04-06,Closed
P004_RFI_021,P004,2026-06-17,2026-06-27,,Open
P004_RFI_022,P004,2026-02-25,2026-03-07,,Open
P004_RFI_023,P004,2026-05-05,2026-05-10,2026-05-11,Closed
P004_RFI_024,P004,2026-05-03,2026-05-11,2026-06-05,Closed
P004_RFI_025,P004,2026-06-28,2026-07-05,2026-07-15,Closed
P005_RFI_001,P005,2025-11-18,2025-11-24,2025-12-19,Closed
P005_RFI_002,P005,2026-03-20,2026-03-25,2026-04-09,Closed
P005_RFI_003,P005,2026-05-14,2026-05-28,,Open
P005_RFI_004,P005,2025-12-28,2026-01-11,2026-01-21,Closed
P005_RFI_005,P005,2026-04-09,2026-04-22,2026-04-11,Closed
P005_RFI_006,P005,2026-06-17,2026-07-01,,Open
P005_RFI_007,P005,2025-10-28,2025-11-17,2025-11-23,Closed
P005_RFI_008,P005,2025-12-20,2025-12-29,2025-12-26,Closed
P005_RFI_009,P005,2025-11-09,2025-11-26,2025-11-22,Closed
P005_RFI_010,P005,2026-03-13,2026-04-02,,Open
P005_RFI_011,P005,2026-05-20,2026-06-02,,Open
P005_RFI_012,P005,2026-01-06,2026-01-15,,Open
P005_RFI_013,P005,2026-05-12,2026-05-30,2026-05-18,Closed
P005_RFI_014,P005,2026-01-22,2026-02-11,,Open
P005_RFI_015,P005,2026-07-06,2026-07-14,,Open
P005_RFI_016,P005,2026-01-04,2026-01-13,2026-01-15,Closed
P005_RFI_017,P005,2025-12-11,2025-12-20,2026-01-12,Closed
P005_RFI_018,P005,2025-12-07,2025-12-14,2025-12-09,Closed
P005_RFI_019,P005,2026-08-10,2026-08-30,,Open
P005_RFI_020,P005,2025-12-10,2025-12-16,,Open
P005_RFI_021,P005,2026-03-07,2026-03-22,2026-03-20,Closed
P005_RFI_022,P005,2026-02-17,2026-02-24,2026-03-23,Closed
P005_RFI_023,P005,2026-02-16,2026-03-03,2026-02-20,Closed
P005_RFI_024,P005,2026-06-10,2026-06-15,2026-07-10,Closed
P005_RFI_025,P005,2026-08-02,2026-08-21,2026-09-07,Closed
