deficiency_id,project_id,created_date,due_date,closed_date,status,priority
P002_DEF_005,P002,2026-08-05,2026-08-15,2026-09-05,Closed,Medium
P002_DEF_006,P002,2026-04-22,2026-05-08,2026-05-20,Closed,High
P002_DEF_007,P002,2026-06-13,2026-07-02,2026-06-20,Closed,Medium
P002_DEF_008,P002,2026-01-18,2026-01-26,2026-02-09,Closed,Medium
P002_DEF_009,P002,2026-08-11,2026-08-24,,Open,Medium
P002_DEF_010,P002,2026-01-16,2026-02-11,2026-01-28,Closed,Low
P002_DEF_011,P002,2026-06-30,2026-07-23,,Open,High
P002_DEF_012,P002,2026-05-06,2026-05-23,,Open,Medium
P002_DEF_013,P002,2026-02-12,2026-03-07,,Open,Low
P002_DEF_014,P002,2026-01-15,2026-02-10,2026-01-18,Closed,Low
P002_DEF_015,P002,2025-12-14,2025-12-21,,Open,Medium
P002_DEF_016,P002,2026-01-19,2026-01-24,2026-02-18,Closed,High
P002_DEF_017,P002,2026-02-09,2026-03-09,2026-02-13,Closed,Medium
P002_DEF_018,P002,2026-04-10,2026-05-04,2026-05-12,Closed,Medium
P002_DEF_019,P002,2026-04-19,2026-04-25,2026-04-21,Closed,Medium
P002_DEF_020,P002,2026-03-03,2026-03-13,2026-03-15,Closed,Medium
P002_DEF_021,P002,2026-07-27,2026-08-08,2026-08-29,Closed,Low
P002_DEF_022,P002,2026-08-06,2026-08-14,2026-08-29,Closed,Medium
P003_DEF_001,P003,2026-07-31,2026-08-18,2026-08-05,Closed,Low
P003_DEF_002,P003,2026-07-04,2026-07-30,2026-07-18,Closed,Medium
P003_DEF_003,P003,2026-01-09,2026-02-02,2026-01-15,Closed,Medium
P003_DEF_004,P003,2026-05-17,2026-06-15,2026-05-22,Closed,Low
P003_DEF_005,P003,2026-02-27,2026-03-15,,Open,High
P003_DEF_006,P003,2026-06-28,2026-07-13,2026-07-12,Closed,Low
P003_DEF_007,P003,2026-05-13,2026-05-27,2026-05-14,Closed,Medium
P003_DEF_008,P003,2026-08-06,2026-08-21,2026-08-26,Closed,Medium
P003_DEF_009,P003,2026-04-29,2026-05-08,2026-05-11,Closed,Medium
P003_DEF_010,P003,2025-12-16,2026-01-13,2026-01-13,Closed,High
P003_DEF_011,P003,2026-04-02,2026-04-18,2026-04-22,Closed,Low
P003_DEF_012,P003,2026-04-06,2026-04-19,2026-04-26,Closed,Low
P003_DEF_013,P003,2026-08-13,2026-09-09,,Open,Low
P003_DEF_014,P003,2026-06-16,2026-06-25,,Open,Medium
P003_DEF_015,P003,2026-08-02,2026-08-16,2026-08-26,Closed,Medium
P003_DEF_016,P003,2026-04-10,2026-04-16,2026-05-09,Closed,High
P003_DEF_017,P003,2026-01-03,2026-01-31,2026-01-26,Closed,Medium
P003_DEF_018,P003,2026-05-22,2026-06-18,,Open,Low
P003_DEF_019,P003,2026-05-26,2026-06-17,,Open,Medium
P003_DEF_020,P003,2025-12-15,2026-01-09,,Open,Medium
P003_DEF_021,P003,2026-05-10,2026-05-20,2026-06-01,Closed,Low
P003_DEF_022,P003,2026-02-02,2026-03-01,2026-02-12,Closed,Low
P004_DEF_001,P004,2026-01-16,2026-02-06,2026-01-28,Closed,Low
P004_DEF_002,P004,2026-05-17,2026-06-04,2026-05-18,Closed,Low
P004_DEF_003,P004,2026-01-18,2026-02-05,2026-01-23,Closed,Medium
P004_DEF_004,P004,2026-02-05,2026-02-11,2026-02-11,Closed,Low
P004_DEF_005,P004,2026-03-06,2026-03-19,2026-03-19,Closed,Medium
P004_DEF_006,P004,2026-05-29,2026-06-11,,Open,Medium
P004_DEF_007,P004,2026-05-04,2026-05-22,2026-05-23,Closed,High
P004_DEF_008,P004,2026-05-24,2026-06-10,2026-06-12,Closed,High
P004_DEF_009,P004,2026-04-07,2026-05-05,,Open,Medium
P004_DEF_010,P004,2026-01-13,2026-02-01,2026-01-20,Closed,Medium
P004_DEF_011,P004,2026-03-20,2026-04-18,2026-04-21,Closed,Medium
P004_DEF_012,P004,2026-02-23,2026-03-05,,Open,Medium
P004_DEF_013,P004,2026-04-26,2026-05-14,2026-05-05,Closed,Medium
P004_DEF_014,P004,2026-07-19,2026-07-31,2026-07-25,Closed,High
P004_DEF_015,P004,2026-01-05,2026-02-03,2026-02-08,Closed,Medium
P004_DEF_016,P004,2026-01-19,2026-02-04,2026-02-11,Closed,High
P004_DEF_017,P004,2025-12-15,2025-12-31,2026-01-05,Closed,Low
P004_DEF_018,P004,2025-12-10,2025-12-30,2025-12-25,Closed,Low
P004_DEF_019,P004,2026-01-23,2026-02-15,,Open,High
P004_DEF_020,P004,2026-01-12,2026-02-04,,Open,Medium
P004_DEF_021,P004,2025-12-17,2026-01-11,,Open,Low
P004_DEF_022,P004,2025-12-18,2025-12-25,2026-01-17,Closed,Medium
P005_DEF_001,P005,2026-02-18,2026-03-07,2026-03-15,Closed,Medium
P005_DEF_002,P005,2026-08-07,2026-08-23,,Open,Medium
P005_DEF_003,P005,2026-06-04,2026-07-02,2026-06-24,Closed,Medium
P005_DEF_004,P005,2026-08-07,2026-09-02,2026-08-20,Closed,Medium
P005_DEF_005,P005,2026-04-18,2026-05-13,2026-04-27,Closed,Medium
P005_DEF_006,P005,2026-07-30,2026-08-13,,Open,Medium
P005_DEF_007,P005,2026-02-25,2026-03-09,2026-03-23,Closed,Low
P005_DEF_008,P005,2026-06-07,2026-06-29,2026-06-17,Closed,High
P005_DEF_009,P005,2026-03-20,2026-03-28,,Open,Medium
P005_DEF_010,P005,2026-06-06,2026-06-25,,Open,High
P005_DEF_011,P005,2026-03-06,2026-04-02,2026-03-28,Closed,Low
P005_DEF_012,P005,2026-03-24,2026-03-31,2026-04-25,Closed,Medium
P005_DEF_013,P005,2026-01-25,2026-02-12,2026-02-19,Closed,High
P005_DEF_014,P005,2026-07-10,2026-07-21,2026-07-13,Closed,Medium
P005_DEF_015,P005,2026-04-11,2026-04-22,2026-04-22,Closed,High
P005_DEF_016,P005,2026-02-07,2026-02-25,,Open,Medium
P005_DEF_017,P005,2026-07-03,2026-07-14,2026-08-05,Closed,Medium
P005_DEF_018,P005,2026-06-02,2026-06-14,2026-06-08,Closed,Medium
P005_DEF_019,P005,2026-01-30,2026-02-16,2026-02-01,Closed,Medium
P005_DEF_020,P005,2026-02-23,2026-03-20,,Open,Medium
P005_DEF_021,P005,2026-06-08,2026-07-04,,Open,Medium
P005_DEF_022,P005,2026-05-20,2026-05-30,,Open,Medium
