submittal_id,project_id,created_date,due_date,closed_date,status
P003_SUB_021,P003,2025-11-14,2025-12-10,2025-12-20,Closed
P003_SUB_022,P003,2025-11-25,2025-12-22,2025-12-08,Closed
P004_SUB_001,P004,2026-04-25,2026-05-24,,Open
P004_SUB_002,P004,2026-05-11,2026-05-28,,Open
P004_SUB_003,P004,2026-08-06,2026-08-16,,Open
P004_SUB_004,P004,2026-02-11,2026-02-20,2026-03-12,Closed
P004_SUB_005,P004,2026-05-13,2026-06-06,2026-06-03,Closed
P004_SUB_006,P004,2025-11-10,2025-11-21,2025-12-24,Closed
P004_SUB_007,P004,2026-07-23,2026-08-19,2026-07-30,Closed
P004_SUB_008,P004,2025-12-24,2026-01-11,,Open
P004_SUB_009,P004,2026-07-11,2026-08-03,2026-08-09,Closed
P004_SUB_010,P004,2026-06-02,2026-06-23,2026-07-04,Closed
P004_SUB_011,P004,2026-04-29,2026-05-21,,Open
P004_SUB_012,P004,2026-07-19,2026-07-29,2026-08-25,Closed
P004_SUB_013,P004,2025-12-04,2025-12-30,,Open
P004_SUB_014,P004,2026-04-09,2026-05-07,,Open
P004_SUB_015,P004,2026-07-17,2026-08-15,2026-07-21,Closed
P004_SUB_016,P004,2026-03-13,2026-04-02,,Open
P004_SUB_017,P004,2026-08-07,2026-08-16,2026-08-27,Closed
P004_SUB_018,P004,2025-10-24,2025-11-02,2025-11-20,Closed
P004_SUB_019,P004,2026-04-17,2026-04-28,,Open
P004_SUB_020,P004,2026-07-06,2026-07-29,,Open
P004_SUB_021,P004,2026-04-10,2026-04-28,,Open
P004_SUB_022,P004,2026-08-01,2026-08-27,2026-08-13,Closed
P005_SUB_001,P005,2026-06-08,2026-06-23,2026-07-16,Closed
P005_SUB_002,P005,2026-04-25,2026-05-23,2026-05-05,Closed
P005_SUB_003,P005,2025-12-21,2026-01-15,2026-01-29,Closed
P005_SUB_004,P005,2026-08-08,2026-09-03,2026-09-13,Closed
P005_SUB_005,P005,2025-12-28,2026-01-04,,Open
P005_SUB_006,P005,2025-11-10,2025-11-22,2025-11-16,Closed
P005_SUB_007,P005,2026-05-11,2026-06-09,2026-05-16,Closed
P005_SUB_008,P005,2025-12-14,2025-12-28,2026-01-09,Closed
P005_SUB_009,P005,2026-01-03,2026-01-15,2026-02-02,Closed
P005_SUB_010,P005,2026-05-31,2026-06-10,,Open
P005_SUB_011,P005,2026-04-18,2026-05-11,2026-05-28,Closed
P005_SUB_012,P005,2026-06-13,2026-06-21,2026-06-23,Closed
P005_SUB_013,P005,2026-07-19,2026-08-13,2026-07-26,Closed
P005_SUB_014,P005,2026-04-18,2026-04-28,2026-05-23,Closed
P005_SUB_015,P005,2026-07-25,2026-08-17,2026-07-28,Closed
P005_SUB_016,P005,2026-05-16,2026-06-05,,Open
P005_SUB_017,P005,2025-10-25,2025-11-11,2025-11-09,Closed
P005_SUB_018,P005,2025-11-28,2025-12-05,2025-12-10,Closed
P005_SUB_019,P005,2025-11-26,2025-12-25,2025-11-30,Closed
P005_SUB_020,P005,2026-08-01,2026-08-15,2026-08-04,Closed
P005_SUB_021,P005,2026-05-05,2026-05-20,2026-05-18,Closed
P005_SUB_022,P005,2026-07-07,2026-08-05,2026-08-09,Closed
